id,title,description,link,image_link,additional_image_link,price,availability,condition,brand,mpn,gtin,product_type,google_product_category,shipping_country,shipping_service,shipping_price,shipping_weight,min_handling_time,max_handling_time,min_transit_time,max_transit_time,tax_country,tax_rate,country_of_origin,identifier_exists
34,Children's Sound Card Book Educational Learning,Children's Sound Card Book Educational Learning. Sizes: S.,https://www.yeatru.com/product-34.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUT-005.png,,0.94 USD,in_stock,new,Yeatru Sourcing,YCS-AUT-005,,Home & Garden > Auto Accessories,,US,Standard DDP,0.00 USD,s,3,7,7,35,US,0.00,CN,no
35,Car Emergency Escape Hammer Window Breaker Safety,Car Emergency Escape Hammer Window Breaker Safety.,https://www.yeatru.com/product-35.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUT-006.png,,0.69 USD,in_stock,new,Yeatru Sourcing,YCS-AUT-006,,Home & Garden > Auto Accessories,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
36,Car Windshield Sunshade Umbrella UV Protection Foldable,Car Windshield Sunshade Umbrella UV Protection Foldable.,https://www.yeatru.com/product-36.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUT-007.png,,2.33 USD,in_stock,new,Yeatru Sourcing,YCS-AUT-007,,Home & Garden > Auto Accessories,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
37,Android TV Box Streaming Media 4K Player,Android TV Box Streaming Media 4K Player.,https://www.yeatru.com/product-37.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AVD-001.png,,11.16 USD,in_stock,new,Yeatru Sourcing,YCS-AVD-001,,Home & Garden > Audio/Video,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
38,WiFi Router Wireless Dual Band Network,WiFi Router Wireless Dual Band Network. Available in Black.,https://www.yeatru.com/product-38.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AVD-002.png,,5.32 USD,in_stock,new,Yeatru Sourcing,YCS-AVD-002,,Home & Garden > Audio/Video,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
39,3D Glasses Movie Theater VR Virtual,3D Glasses Movie Theater VR Virtual.,https://www.yeatru.com/product-39.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AVD-003.png,,1.00 USD,in_stock,new,Yeatru Sourcing,YCS-AVD-003,,Home & Garden > Audio/Video,,US,Standard DDP,0.00 USD,3d,3,7,7,35,US,0.00,CN,no
40,Xiaomi Air Purifier 5 HEPA Filter Home,Xiaomi Air Purifier 5 HEPA Filter Home.,https://www.yeatru.com/product-40.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AVD-004.png,,16.82 USD,in_stock,new,Yeatru Sourcing,YCS-AVD-004,,Home & Garden > Audio/Video,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
41,Mini Projector Home Theater Portable,Mini Projector Home Theater Portable.,https://www.yeatru.com/product-41.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AVD-005.png,,28.32 USD,in_stock,new,Yeatru Sourcing,YCS-AVD-005,,Home & Garden > Audio/Video,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
42,Android TV Box Streaming 4K,Android TV Box Streaming 4K.,https://www.yeatru.com/product-42.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AVD-006.png,,1.70 USD,in_stock,new,Yeatru Sourcing,YCS-AVD-006,,Home & Garden > Audio/Video,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
43,White Laptop Backpack Waterproof Travel,"White Laptop Backpack Waterproof Travel. Available in Black, White.",https://www.yeatru.com/product-43.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAC-001-001.jpg,,3.18 USD,in_stock,new,Yeatru Sourcing,YCS-BAC-001,,Home & Garden > Backpacks,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
